TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,WON,YEAR
Texas Tech,B12,38,31,115.2,85.2,0.9696,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7,3,1,2019
Michigan,B10,40,33,114.4,90.4,0.9375,53.9,47.7,14,19.5,25.5,24.9,30.7,30,54.7,46.8,35.2,33.2,65.9,6.9,3,1,2018
Gonzaga,WCC,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,7.7,1,1,2017
North Carolina,ACC,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,1,1,2016
Wisconsin,B10,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,1,1,2015
Virginia,ACC,38,35,123,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,1,1,2019
Villanova,BE,40,36,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,1,1,2018
North Carolina,ACC,39,33,121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,1,1,2017
Villanova,BE,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,2,1,2016
Duke,ACC,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,1,1,2015
Gonzaga,WCC,37,33,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,1,0,2019
Duke,ACC,38,32,118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,73.6,11.2,1,0,2019
Kentucky,SEC,37,30,117.5,89.8,0.9568,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,2,0,2019
